Is Daylight,Distance to Solar Noon,Average Temperature (Day),Average Wind Direction (Day),Relative Humidity,Average Wind Speed (Period),Average Barometric Pressure (Period),Power Generated,day_of_year_sin,day_of_year_cos,hour_sin,hour_cos
1.0,0.009316892299387453,0.41666666666666674,0.7428571428571428,0.5348837209302326,0.42500000000000004,0.5142857142857125,31714,0.994217906893952,0.10738134666416309,-0.2588190451025208,-0.9659258262890683
1.0,0.23137913864826734,0.41666666666666674,0.7428571428571428,0.6511627906976745,0.6000000000000001,0.47619047619047805,16656,0.994217906893952,0.10738134666416309,-0.8660254037844385,-0.5000000000000004
1.0,0.45344138408052365,0.41666666666666674,0.7428571428571428,0.7325581395348837,0.55,0.466666666666665,573,0.994217906893952,0.10738134666416309,-0.9659258262890684,0.2588190451025203
0.0,0.6755036304294035,0.41666666666666674,0.7428571428571428,0.8023255813953487,0.5,0.485714285714284,0,0.994217906893952,0.10738134666416309,-0.5000000000000004,0.8660254037844384
0.0,0.7831859590943646,0.5555555555555556,0.7714285714285714,0.8372093023255813,0.275,0.47619047619047805,0,0.995918996147179,0.09025161003104117,0.25881904510252074,0.9659258262890683
0.0,0.5620167250424367,0.5555555555555556,0.7714285714285714,0.8023255813953487,0.325,0.47619047619047805,0,0.995918996147179,0.09025161003104117,0.8660254037844386,0.5000000000000001
1.0,0.34084749099050893,0.5555555555555556,0.7714285714285714,0.8023255813953487,0.15000000000000002,0.5047619047619065,4440,0.995918996147179,0.09025161003104117,0.9659258262890683,-0.25881904510252063
1.0,0.11967825602195745,0.5555555555555556,0.7714285714285714,0.5930232558139534,0.0,0.5238095238095255,25704,0.995918996147179,0.09025161003104117,0.49999999999999994,-0.8660254037844387
1.0,0.009093639454305337,0.5555555555555556,0.7714285714285714,0.313953488372093,0.35000000000000003,0.5047619047619065,31885,0.995918996147179,0.09025161003104117,-0.2588190451025208,-0.9659258262890683
1.0,0.23026287350623317,0.5555555555555556,0.7714285714285714,0.441860465116279,0.45,0.47619047619047805,17252,0.995918996147179,0.09025161003104117,-0.8660254037844385,-0.5000000000000004
1.0,0.451432107558161,0.5555555555555556,0.7714285714285714,0.6744186046511627,0.325,0.485714285714284,404,0.995918996147179,0.09025161003104117,-0.9659258262890684,0.2588190451025203
